file	date	bottle	composition_id	temperature_treatment	magnification	dilution_factor	sample	video
%%TIMESTAMP%%_00049	%%DD%%.%%MM%%.%%YY%%	b_17	c_05	increasing	25	1	1	1
%%TIMESTAMP%%_00050	%%DD%%.%%MM%%.%%YY%%	b_17	c_05	increasing	25	1	1	2
%%TIMESTAMP%%_00051	%%DD%%.%%MM%%.%%YY%%	b_17	c_05	increasing	25	1	1	3
%%TIMESTAMP%%_00052	%%DD%%.%%MM%%.%%YY%%	b_18	c_04	increasing	25	1	1	1
%%TIMESTAMP%%_00053	%%DD%%.%%MM%%.%%YY%%	b_18	c_04	increasing	25	1	1	2
%%TIMESTAMP%%_00054	%%DD%%.%%MM%%.%%YY%%	b_18	c_04	increasing	25	1	1	3
%%TIMESTAMP%%_00055	%%DD%%.%%MM%%.%%YY%%	b_19	c_12	increasing	25	1	1	1
%%TIMESTAMP%%_00056	%%DD%%.%%MM%%.%%YY%%	b_19	c_12	increasing	25	1	1	2
%%TIMESTAMP%%_00057	%%DD%%.%%MM%%.%%YY%%	b_19	c_12	increasing	25	1	1	3
%%TIMESTAMP%%_00058	%%DD%%.%%MM%%.%%YY%%	b_20	c_09	increasing	25	1	1	1
%%TIMESTAMP%%_00059	%%DD%%.%%MM%%.%%YY%%	b_20	c_09	increasing	25	1	1	2
%%TIMESTAMP%%_00060	%%DD%%.%%MM%%.%%YY%%	b_20	c_09	increasing	25	1	1	3
%%TIMESTAMP%%_00061	%%DD%%.%%MM%%.%%YY%%	b_21	c_07	constant	25	1	1	1
%%TIMESTAMP%%_00062	%%DD%%.%%MM%%.%%YY%%	b_21	c_07	constant	25	1	1	2
%%TIMESTAMP%%_00063	%%DD%%.%%MM%%.%%YY%%	b_21	c_07	constant	25	1	1	3
%%TIMESTAMP%%_00064	%%DD%%.%%MM%%.%%YY%%	b_22	c_10	constant	25	1	1	1
%%TIMESTAMP%%_00065	%%DD%%.%%MM%%.%%YY%%	b_22	c_10	constant	25	1	1	2
%%TIMESTAMP%%_00066	%%DD%%.%%MM%%.%%YY%%	b_22	c_10	constant	25	1	1	3
%%TIMESTAMP%%_00067	%%DD%%.%%MM%%.%%YY%%	b_23	c_04	constant	25	1	1	1
%%TIMESTAMP%%_00068	%%DD%%.%%MM%%.%%YY%%	b_23	c_04	constant	25	1	1	2
%%TIMESTAMP%%_00069	%%DD%%.%%MM%%.%%YY%%	b_23	c_04	constant	25	1	1	3
%%TIMESTAMP%%_00070	%%DD%%.%%MM%%.%%YY%%	b_24	c_13	constant	25	1	1	1
%%TIMESTAMP%%_00071	%%DD%%.%%MM%%.%%YY%%	b_24	c_13	constant	25	1	1	2
%%TIMESTAMP%%_00072	%%DD%%.%%MM%%.%%YY%%	b_24	c_13	constant	25	1	1	3
%%TIMESTAMP%%_00073	%%DD%%.%%MM%%.%%YY%%	b_25	c_03	increasing	25	1	1	1
%%TIMESTAMP%%_00074	%%DD%%.%%MM%%.%%YY%%	b_25	c_03	increasing	25	1	1	2
%%TIMESTAMP%%_00075	%%DD%%.%%MM%%.%%YY%%	b_25	c_03	increasing	25	1	1	3
%%TIMESTAMP%%_00076	%%DD%%.%%MM%%.%%YY%%	b_26	c_15	increasing	25	1	1	1
%%TIMESTAMP%%_00077	%%DD%%.%%MM%%.%%YY%%	b_26	c_15	increasing	25	1	1	2
%%TIMESTAMP%%_00078	%%DD%%.%%MM%%.%%YY%%	b_26	c_15	increasing	25	1	1	3
%%TIMESTAMP%%_00079	%%DD%%.%%MM%%.%%YY%%	b_27	c_10	increasing	25	1	1	1
%%TIMESTAMP%%_00080	%%DD%%.%%MM%%.%%YY%%	b_27	c_10	increasing	25	1	1	2
%%TIMESTAMP%%_00081	%%DD%%.%%MM%%.%%YY%%	b_27	c_10	increasing	25	1	1	3
%%TIMESTAMP%%_00082	%%DD%%.%%MM%%.%%YY%%	b_28	c_09	constant	25	1	1	1
%%TIMESTAMP%%_00083	%%DD%%.%%MM%%.%%YY%%	b_28	c_09	constant	25	1	1	2
%%TIMESTAMP%%_00084	%%DD%%.%%MM%%.%%YY%%	b_28	c_09	constant	25	1	1	3
%%TIMESTAMP%%_00085	%%DD%%.%%MM%%.%%YY%%	b_29	c_12	constant	25	1	1	1
%%TIMESTAMP%%_00086	%%DD%%.%%MM%%.%%YY%%	b_29	c_12	constant	25	1	1	2
%%TIMESTAMP%%_00087	%%DD%%.%%MM%%.%%YY%%	b_29	c_12	constant	25	1	1	3
%%TIMESTAMP%%_00088	%%DD%%.%%MM%%.%%YY%%	b_30	c_01	constant	25	1	1	1
%%TIMESTAMP%%_00089	%%DD%%.%%MM%%.%%YY%%	b_30	c_01	constant	25	1	1	2
%%TIMESTAMP%%_00090	%%DD%%.%%MM%%.%%YY%%	b_30	c_01	constant	25	1	1	3
